Origin_airport,Destination_airport,Origin_city,Destination_city,Distance,Origin_population,Destination_population
BUF,TPA,"Buffalo, NY","Tampa, FL",1054,1186544,2154044
BDL,TPA,"Hartford, CT","Tampa, FL",1111,1113181,2154044
RDU,TPA,"Raleigh, NC","Tampa, FL",587,625446,2154044
CMH,TPA,"Columbus, OH","Tampa, FL",829,1484995,2154044
CAE,TPA,"Columbia, SC","Tampa, FL",420,580592,2154044
PHX,TPA,"Phoenix, AZ","Tampa, FL",1788,2549507,2154044
MCO,TPA,"Orlando, FL","Tampa, FL",80,1363774,2154044
MEM,TPA,"Memphis, TN","Tampa, FL",656,1114203,2154044
DFW,TPA,"Dallas, TX","Tampa, FL",929,8613622,2154044
EWR,TPA,"Newark, NJ","Tampa, FL",998,17072218,2154044
DAY,TPA,"Dayton, OH","Tampa, FL",828,859147,2154044
MIA,TPA,"Miami, FL","Tampa, FL",204,8746902,2154044
BOS,TPA,"Boston, MA","Tampa, FL",1185,8293684,2154044
TUL,TPA,"Tulsa, OK","Tampa, FL",965,794748,2154044
BGR,TPA,"Bangor, ME","Tampa, FL",1385,147183,2154044
BOS,TPA,"Boston, MA","Tampa, FL",1185,8357434,2175213
MIA,TPA,"Miami, FL","Tampa, FL",204,8913928,2175213
ALB,TPA,"Albany, NY","Tampa, FL",1130,828038,2175213
BGR,TPA,"Bangor, ME","Tampa, FL",1385,146301,2175213
EWR,TPA,"Newark, NJ","Tampa, FL",998,17130692,2175213
DFW,TPA,"Dallas, TX","Tampa, FL",929,8787062,2175213
APF,TPA,"Naples, FL","Tampa, FL",134,180924,2175213
DAY,TPA,"Dayton, OH","Tampa, FL",828,861142,2175213
PIT,TPA,"Pittsburgh, PA","Tampa, FL",873,2460192,2175213
GSO,TPA,"Greensboro, NC","Tampa, FL",580,577452,2175213
CVG,TPA,"Cincinnati, OH","Tampa, FL",773,1935662,2175213
CHS,TPA,"Charleston, SC","Tampa, FL",371,526130,2175213
MGM,TPA,"Montgomery, AL","Tampa, FL",377,326815,2175213
BNA,TPA,"Nashville, TN","Tampa, FL",612,1161336,2175213
STL,TPA,"St. Louis, MO","Tampa, FL",869,2634959,2175213
PNS,TPA,"Pensacola, FL","Tampa, FL",330,375684,2175213
MKE,TPA,"Milwaukee, WI","Tampa, FL",1075,1460359,2175213
PVD,TPA,"Providence, RI","Tampa, FL",1137,1501636,2175213
IND,TPA,"Indianapolis, IN","Tampa, FL",838,1389955,2175213
TLH,TPA,"Tallahassee, FL","Tampa, FL",200,285519,2175213
IAD,TPA,"Washington, DC","Tampa, FL",810,8757652,2175213
GNV,TPA,"Gainesville, FL","Tampa, FL",119,207824,2175213
DCA,TPA,"Washington, DC","Tampa, FL",814,8757652,2175213
SHV,TPA,"Shreveport, LA","Tampa, FL",742,361143,2175213
MSY,TPA,"New Orleans, LA","Tampa, FL",487,1289805,2175213
MSP,TPA,"Minneapolis, MN","Tampa, FL",1307,2725644,2175213
LAX,TPA,"Los Angeles, CA","Tampa, FL",2158,23203726,2175213
PFN,TPA,"Panama City, FL","Tampa, FL",245,141901,2175213
BWI,TPA,"Baltimore, MD","Tampa, FL",842,2462087,2175213
CLE,TPA,"Cleveland, OH","Tampa, FL",927,2130938,2175213
CLT,TPA,"Charlotte, NC","Tampa, FL",508,1135592,2175213
LAS,TPA,"Las Vegas, NV","Tampa, FL",1984,991401,2175213
JFK,TPA,"New York, NY","Tampa, FL",1005,34261384,2175213
LGA,TPA,"New York, NY","Tampa, FL",1011,34261384,2175213
SYR,TPA,"Syracuse, NY","Tampa, FL",1104,665107,2175213
SAV,TPA,"Savannah, GA","Tampa, FL",297,278793,2175213
MCO,TPA,"Orlando, FL","Tampa, FL",80,1389986,2175213
MEM,TPA,"Memphis, TN","Tampa, FL",656,1126769,2175213
EYW,TPA,"Key West, FL","Tampa, FL",240,81465,2175213
BDL,TPA,"Hartford, CT","Tampa, FL",1111,1108575,2175213
RDU,TPA,"Raleigh, NC","Tampa, FL",587,650034,2175213
CAE,TPA,"Columbia, SC","Tampa, FL",420,587569,2175213
CMH,TPA,"Columbus, OH","Tampa, FL",829,1499793,2175213
PHX,TPA,"Phoenix, AZ","Tampa, FL",1788,2661324,2175213
PHL,TPA,"Philadelphia, PA","Tampa, FL",920,11004980,2175213
JAX,TPA,"Jacksonville, FL","Tampa, FL",180,1000893,2175213
FLL,TPA,"Fort Lauderdale, FL","Tampa, FL",197,4456964,2175213
PBI,TPA,"West Palm Beach, FL","Tampa, FL",174,4456964,2175213
ATL,TPA,"Atlanta, GA","Tampa, FL",406,3548667,2175213
MDW,TPA,"Chicago, IL","Tampa, FL",997,17155070,2175213
ORD,TPA,"Chicago, IL","Tampa, FL",1012,17155070,2175213
DTW,TPA,"Detroit, MI","Tampa, FL",983,8837982,2175213
IAH,TPA,"Houston, TX","Tampa, FL",787,4191632,2175213
IAH,TPA,"Houston, TX","Tampa, FL",787,4268132,2195269
HOU,TPA,"Houston, TX","Tampa, FL",781,4268132,2195269
ATL,TPA,"Atlanta, GA","Tampa, FL",406,3652439,2195269
MDW,TPA,"Chicago, IL","Tampa, FL",997,17287860,2195269
ORD,TPA,"Chicago, IL","Tampa, FL",1012,17287860,2195269
BUF,TPA,"Buffalo, NY","Tampa, FL",1054,1173001,2195269
DTW,TPA,"Detroit, MI","Tampa, FL",983,8912962,2195269
MSP,TPA,"Minneapolis, MN","Tampa, FL",1307,2760875,2195269
MSY,TPA,"New Orleans, LA","Tampa, FL",487,1287349,2195269
LAX,TPA,"Los Angeles, CA","Tampa, FL",2158,23326070,2195269
PFN,TPA,"Panama City, FL","Tampa, FL",245,144589,2195269
IND,TPA,"Indianapolis, IN","Tampa, FL",838,1406510,2195269
TLH,TPA,"Tallahassee, FL","Tampa, FL",200,287386,2195269
IAD,TPA,"Washington, DC","Tampa, FL",810,8857302,2195269
DCA,TPA,"Washington, DC","Tampa, FL",814,8857302,2195269
GNV,TPA,"Gainesville, FL","Tampa, FL",119,209400,2195269
MCI,TPA,"Kansas City, MO","Tampa, FL",1048,1753337,2195269
DFW,TPA,"Dallas, TX","Tampa, FL",929,8994450,2195269
APF,TPA,"Naples, FL","Tampa, FL",134,185998,2195269
MIA,TPA,"Miami, FL","Tampa, FL",204,9086872,2195269
BOS,TPA,"Boston, MA","Tampa, FL",1185,8407438,2195269
ALB,TPA,"Albany, NY","Tampa, FL",1130,825245,2195269
BGR,TPA,"Bangor, ME","Tampa, FL",1385,145702,2195269
TUL,TPA,"Tulsa, OK","Tampa, FL",965,807864,2195269
TPA,TPA,"Tampa, FL","Tampa, FL",0,2195269,2195269
OMA,TPA,"Omaha, NE","Tampa, FL",1190,728169,2195269
AUS,TPA,"Austin, TX","Tampa, FL",930,1036319,2195269
EWR,TPA,"Newark, NJ","Tampa, FL",998,17190036,2195269
PIT,TPA,"Pittsburgh, PA","Tampa, FL",873,2447532,2195269
PVD,TPA,"Providence, RI","Tampa, FL",1137,1500950,2195269
BHM,TPA,"Birmingham, AL","Tampa, FL",460,1019521,2195269
CVG,TPA,"Cincinnati, OH","Tampa, FL",773,1948312,2195269
GSO,TPA,"Greensboro, NC","Tampa, FL",580,584768,2195269
CHS,TPA,"Charleston, SC","Tampa, FL",371,522700,2195269
PNS,TPA,"Pensacola, FL","Tampa, FL",330,383139,2195269
STL,TPA,"St. Louis, MO","Tampa, FL",869,2642938,2195269
BNA,TPA,"Nashville, TN","Tampa, FL",612,1185691,2195269
MKE,TPA,"Milwaukee, WI","Tampa, FL",1075,1461595,2195269
ROC,TPA,"Rochester, NY","Tampa, FL",1079,1023991,2195269
FLL,TPA,"Fort Lauderdale, FL","Tampa, FL",197,4543436,2195269
PBI,TPA,"West Palm Beach, FL","Tampa, FL",174,4543436,2195269
PHL,TPA,"Philadelphia, PA","Tampa, FL",920,11007158,2195269
JAX,TPA,"Jacksonville, FL","Tampa, FL",180,1029554,2195269
SFO,TPA,"San Francisco, CA","Tampa, FL",2392,7772198,2195269
LGA,TPA,"New York, NY","Tampa, FL",1011,34380072,2195269
JFK,TPA,"New York, NY","Tampa, FL",1005,34380072,2195269
SYR,TPA,"Syracuse, NY","Tampa, FL",1104,661210,2195269
RIC,TPA,"Richmond, VA","Tampa, FL",723,1024022,2195269
BWI,TPA,"Baltimore, MD","Tampa, FL",842,2468142,2195269
CLT,TPA,"Charlotte, NC","Tampa, FL",508,1164160,2195269
CLE,TPA,"Cleveland, OH","Tampa, FL",927,2130821,2195269
LAS,TPA,"Las Vegas, NV","Tampa, FL",1984,1044023,2195269
CMH,TPA,"Columbus, OH","Tampa, FL",829,1509212,2195269
RDU,TPA,"Raleigh, NC","Tampa, FL",587,674409,2195269
PHX,TPA,"Phoenix, AZ","Tampa, FL",1788,2753549,2195269
CAE,TPA,"Columbia, SC","Tampa, FL",420,595437,2195269
MCO,TPA,"Orlando, FL","Tampa, FL",80,1422502,2195269
MEM,TPA,"Memphis, TN","Tampa, FL",656,1137519,2195269
BDL,TPA,"Hartford, CT","Tampa, FL",1111,1107497,2195269
EYW,TPA,"Key West, FL","Tampa, FL",240,81351,2195269
MTJ,TPA,"Montrose, CO","Tampa, FL",1631,29483,2195269
BDL,TPA,"Hartford, CT","Tampa, FL",1111,1107010,2225002
EYW,TPA,"Key West, FL","Tampa, FL",240,80906,2225002
CMH,TPA,"Columbus, OH","Tampa, FL",829,1525094,2225002
RDU,TPA,"Raleigh, NC","Tampa, FL",587,697449,2225002
CAE,TPA,"Columbia, SC","Tampa, FL",420,602997,2225002
PHX,TPA,"Phoenix, AZ","Tampa, FL",1788,2841395,2225002
MEM,TPA,"Memphis, TN","Tampa, FL",656,1145788,2225002
MCO,TPA,"Orlando, FL","Tampa, FL",80,1464182,2225002
EWR,TPA,"Newark, NJ","Tampa, FL",998,17264316,2225002
DFW,TPA,"Dallas, TX","Tampa, FL",929,9231044,2225002
APF,TPA,"Naples, FL","Tampa, FL",134,192823,2225002
DAY,TPA,"Dayton, OH","Tampa, FL",828,858608,2225002
MIA,TPA,"Miami, FL","Tampa, FL",204,9247394,2225002
BOS,TPA,"Boston, MA","Tampa, FL",1185,8460622,2225002
DTW,TPA,"Detroit, MI","Tampa, FL",983,8934802,2225002
IAH,TPA,"Houston, TX","Tampa, FL",787,4351339,2225002
HOU,TPA,"Houston, TX","Tampa, FL",781,4351339,2225002
BUF,TPA,"Buffalo, NY","Tampa, FL",1054,1162332,2225002
ATL,TPA,"Atlanta, GA","Tampa, FL",406,3756986,2225002
ORD,TPA,"Chicago, IL","Tampa, FL",1012,17405264,2225002
MDW,TPA,"Chicago, IL","Tampa, FL",997,17405264,2225002
MCI,TPA,"Kansas City, MO","Tampa, FL",1048,1776103,2225002
IAD,TPA,"Washington, DC","Tampa, FL",810,8966798,2225002
DCA,TPA,"Washington, DC","Tampa, FL",814,8966798,2225002
GNV,TPA,"Gainesville, FL","Tampa, FL",119,210942,2225002
ABQ,TPA,"Albuquerque, NM","Tampa, FL",1497,687931,2225002
MSP,TPA,"Minneapolis, MN","Tampa, FL",1307,2795024,2225002
MSY,TPA,"New Orleans, LA","Tampa, FL",487,1286268,2225002
LAX,TPA,"Los Angeles, CA","Tampa, FL",2158,23583460,2225002
PFN,TPA,"Panama City, FL","Tampa, FL",245,146340,2225002
IND,TPA,"Indianapolis, IN","Tampa, FL",838,1422397,2225002
GRR,TPA,"Grand Rapids, MI","Tampa, FL",1041,706500,2225002
TLH,TPA,"Tallahassee, FL","Tampa, FL",200,289849,2225002
LAS,TPA,"Las Vegas, NV","Tampa, FL",1984,1105005,2225002
JFK,TPA,"New York, NY","Tampa, FL",1005,34528632,2225002
LGA,TPA,"New York, NY","Tampa, FL",1011,34528632,2225002
ABE,TPA,"Allentown, PA","Tampa, FL",963,712594,2225002
BWI,TPA,"Baltimore, MD","Tampa, FL",842,2474658,2225002
CLT,TPA,"Charlotte, NC","Tampa, FL",508,1194105,2225002
CLE,TPA,"Cleveland, OH","Tampa, FL",927,2126219,2225002
BNA,TPA,"Nashville, TN","Tampa, FL",612,1209809,2225002
STL,TPA,"St. Louis, MO","Tampa, FL",869,2651494,2225002
PNS,TPA,"Pensacola, FL","Tampa, FL",330,393816,2225002
MKE,TPA,"Milwaukee, WI","Tampa, FL",1075,1459541,2225002
PIT,TPA,"Pittsburgh, PA","Tampa, FL",873,2432761,2225002
PVD,TPA,"Providence, RI","Tampa, FL",1137,1501497,2225002
GSO,TPA,"Greensboro, NC","Tampa, FL",580,591489,2225002
BHM,TPA,"Birmingham, AL","Tampa, FL",460,1027178,2225002
CVG,TPA,"Cincinnati, OH","Tampa, FL",773,1964172,2225002
CHS,TPA,"Charleston, SC","Tampa, FL",371,534013,2225002
PHL,TPA,"Philadelphia, PA","Tampa, FL",920,11003856,2225002
JAX,TPA,"Jacksonville, FL","Tampa, FL",180,1050238,2225002
ACY,TPA,"Atlantic City, NJ","Tampa, FL",914,236224,2225002
SLC,TPA,"Salt Lake City, UT","Tampa, FL",1887,898848,2225002
FLL,TPA,"Fort Lauderdale, FL","Tampa, FL",197,4623697,2225002
PBI,TPA,"West Palm Beach, FL","Tampa, FL",174,4623697,2225002
FLL,TPA,"Fort Lauderdale, FL","Tampa, FL",197,4691519,2254405
PBI,TPA,"West Palm Beach, FL","Tampa, FL",174,4691519,2254405
JAX,TPA,"Jacksonville, FL","Tampa, FL",180,1064764,2254405
PHL,TPA,"Philadelphia, PA","Tampa, FL",920,11020546,2254405
ACY,TPA,"Atlantic City, NJ","Tampa, FL",914,237988,2254405
SLC,TPA,"Salt Lake City, UT","Tampa, FL",1887,906185,2254405
OKC,TPA,"Oklahoma City, OK","Tampa, FL",1023,1052642,2254405
ORD,TPA,"Chicago, IL","Tampa, FL",1012,17529224,2254405
ATL,TPA,"Atlanta, GA","Tampa, FL",406,3872031,2254405
BUF,TPA,"Buffalo, NY","Tampa, FL",1054,1151490,2254405
MDW,TPA,"Chicago, IL","Tampa, FL",997,17529224,2254405
DTW,TPA,"Detroit, MI","Tampa, FL",983,8944948,2254405
DET,TPA,"Detroit, MI","Tampa, FL",995,8944948,2254405
IAH,TPA,"Houston, TX","Tampa, FL",787,4445918,2254405
HOU,TPA,"Houston, TX","Tampa, FL",781,4445918,2254405
MEM,TPA,"Memphis, TN","Tampa, FL",656,1156598,2254405
MCO,TPA,"Orlando, FL","Tampa, FL",80,1502837,2254405
LBB,TPA,"Lubbock, TX","Tampa, FL",1210,235445,2254405
BDL,TPA,"Hartford, CT","Tampa, FL",1111,1109081,2254405
CMH,TPA,"Columbus, OH","Tampa, FL",829,1544395,2254405
RDU,TPA,"Raleigh, NC","Tampa, FL",587,721489,2254405
PHX,TPA,"Phoenix, AZ","Tampa, FL",1788,2930726,2254405
CAE,TPA,"Columbia, SC","Tampa, FL",420,612073,2254405
MIA,TPA,"Miami, FL","Tampa, FL",204,9383038,2254405
BOS,TPA,"Boston, MA","Tampa, FL",1185,8506878,2254405
AUS,TPA,"Austin, TX","Tampa, FL",930,1104612,2254405
EWR,TPA,"Newark, NJ","Tampa, FL",998,17341505,2254405
DFW,TPA,"Dallas, TX","Tampa, FL",929,9475022,2254405
DAL,TPA,"Dallas, TX","Tampa, FL",917,9475022,2254405
DAY,TPA,"Dayton, OH","Tampa, FL",828,859406,2254405
BHM,TPA,"Birmingham, AL","Tampa, FL",460,1036121,2254405
CVG,TPA,"Cincinnati, OH","Tampa, FL",773,1978593,2254405
GSO,TPA,"Greensboro, NC","Tampa, FL",580,599064,2254405
MKE,TPA,"Milwaukee, WI","Tampa, FL",1075,1459602,2254405
BNA,TPA,"Nashville, TN","Tampa, FL",612,1229700,2254405
STL,TPA,"St. Louis, MO","Tampa, FL",869,2655631,2254405
PNS,TPA,"Pensacola, FL","Tampa, FL",330,401776,2254405
LAS,TPA,"Las Vegas, NV","Tampa, FL",1984,1161259,2254405
PVD,TPA,"Providence, RI","Tampa, FL",1137,1504679,2254405
PIT,TPA,"Pittsburgh, PA","Tampa, FL",873,2418452,2254405
IND,TPA,"Indianapolis, IN","Tampa, FL",838,1438091,2254405
ABQ,TPA,"Albuquerque, NM","Tampa, FL",1497,692551,2254405
DCA,TPA,"Washington, DC","Tampa, FL",814,9079986,2254405
IAD,TPA,"Washington, DC","Tampa, FL",810,9079986,2254405
MCI,TPA,"Kansas City, MO","Tampa, FL",1048,1795891,2254405
ILM,TPA,"Wilmington, NC","Tampa, FL",513,257649,2254405
MSP,TPA,"Minneapolis, MN","Tampa, FL",1307,2830434,2254405
MSY,TPA,"New Orleans, LA","Tampa, FL",487,1285396,2254405
LAX,TPA,"Los Angeles, CA","Tampa, FL",2158,23895178,2254405
SAT,TPA,"San Antonio, TX","Tampa, FL",972,1650418,2254405
BWI,TPA,"Baltimore, MD","Tampa, FL",842,2480971,2254405
CLT,TPA,"Charlotte, NC","Tampa, FL",508,1223835,2254405
CLE,TPA,"Cleveland, OH","Tampa, FL",927,2121415,2254405
TYS,TPA,"Knoxville, TN","Tampa, FL",547,602012,2254405
LGA,TPA,"New York, NY","Tampa, FL",1011,34683010,2254405
JFK,TPA,"New York, NY","Tampa, FL",1005,34683010,2254405
SAV,TPA,"Savannah, GA","Tampa, FL",297,285257,2254405
RIC,TPA,"Richmond, VA","Tampa, FL",723,1046355,2254405
JFK,TPA,"New York, NY","Tampa, FL",1005,34863448,2278169
LGA,TPA,"New York, NY","Tampa, FL",1011,34863448,2278169
RIC,TPA,"Richmond, VA","Tampa, FL",723,1058930,2278169
SYR,TPA,"Syracuse, NY","Tampa, FL",1104,651217,2278169
CLT,TPA,"Charlotte, NC","Tampa, FL",508,1255975,2278169
CLE,TPA,"Cleveland, OH","Tampa, FL",927,2117837,2278169
BWI,TPA,"Baltimore, MD","Tampa, FL",842,2491254,2278169
RDU,TPA,"Raleigh, NC","Tampa, FL",587,743402,2278169
CMH,TPA,"Columbus, OH","Tampa, FL",829,1562409,2278169
CAE,TPA,"Columbia, SC","Tampa, FL",420,619334,2278169
PHX,TPA,"Phoenix, AZ","Tampa, FL",1788,3013696,2278169
MCO,TPA,"Orlando, FL","Tampa, FL",80,1535004,2278169
MEM,TPA,"Memphis, TN","Tampa, FL",656,1169733,2278169
JAN,TPA,"Jackson, MS","Tampa, FL",541,486914,2278169
BDL,TPA,"Hartford, CT","Tampa, FL",1111,1113800,2278169
GPT,TPA,"Gulfport, MS","Tampa, FL",429,233573,2278169
PHL,TPA,"Philadelphia, PA","Tampa, FL",920,11042574,2278169
ACY,TPA,"Atlantic City, NJ","Tampa, FL",914,239626,2278169
JAX,TPA,"Jacksonville, FL","Tampa, FL",180,1077513,2278169
SFO,TPA,"San Francisco, CA","Tampa, FL",2392,8068740,2278169
FLL,TPA,"Fort Lauderdale, FL","Tampa, FL",197,4760522,2278169
PBI,TPA,"West Palm Beach, FL","Tampa, FL",174,4760522,2278169
IAH,TPA,"Houston, TX","Tampa, FL",787,4540138,2278169
HOU,TPA,"Houston, TX","Tampa, FL",781,4540138,2278169
ATL,TPA,"Atlanta, GA","Tampa, FL",406,3988728,2278169
ORD,TPA,"Chicago, IL","Tampa, FL",1012,17655010,2278169
MDW,TPA,"Chicago, IL","Tampa, FL",997,17655010,2278169
BUF,TPA,"Buffalo, NY","Tampa, FL",1054,1142121,2278169
DET,TPA,"Detroit, MI","Tampa, FL",995,8962394,2278169
DTW,TPA,"Detroit, MI","Tampa, FL",983,8962394,2278169
MSY,TPA,"New Orleans, LA","Tampa, FL",487,1284282,2278169
LAX,TPA,"Los Angeles, CA","Tampa, FL",2158,24181874,2278169
MSP,TPA,"Minneapolis, MN","Tampa, FL",1307,2872109,2278169
SAT,TPA,"San Antonio, TX","Tampa, FL",972,1678565,2278169
IND,TPA,"Indianapolis, IN","Tampa, FL",838,1456455,2278169
IAD,TPA,"Washington, DC","Tampa, FL",810,9231820,2278169
DCA,TPA,"Washington, DC","Tampa, FL",814,9231820,2278169
MCI,TPA,"Kansas City, MO","Tampa, FL",1048,1815318,2278169
ABQ,TPA,"Albuquerque, NM","Tampa, FL",1497,695228,2278169
DFW,TPA,"Dallas, TX","Tampa, FL",929,9703564,2278169
DAL,TPA,"Dallas, TX","Tampa, FL",917,9703564,2278169
BOS,TPA,"Boston, MA","Tampa, FL",1185,8550938,2278169
DAY,TPA,"Dayton, OH","Tampa, FL",828,857208,2278169
MIA,TPA,"Miami, FL","Tampa, FL",204,9521044,2278169
AUS,TPA,"Austin, TX","Tampa, FL",930,1146050,2278169
ALB,TPA,"Albany, NY","Tampa, FL",1130,819105,2278169
EWR,TPA,"Newark, NJ","Tampa, FL",998,17431724,2278169
PIT,TPA,"Pittsburgh, PA","Tampa, FL",873,2404337,2278169
PVD,TPA,"Providence, RI","Tampa, FL",1137,1511077,2278169
BHM,TPA,"Birmingham, AL","Tampa, FL",460,1043600,2278169
GSO,TPA,"Greensboro, NC","Tampa, FL",580,605077,2278169
CVG,TPA,"Cincinnati, OH","Tampa, FL",773,1991593,2278169
MHT,TPA,"Manchester, NH","Tampa, FL",1204,367233,2278169
CHS,TPA,"Charleston, SC","Tampa, FL",371,552803,2278169
GSP,TPA,"Greenville, SC","Tampa, FL",478,530422,2278169
LAS,TPA,"Las Vegas, NV","Tampa, FL",1984,1217155,2278169
STL,TPA,"St. Louis, MO","Tampa, FL",869,2663420,2278169
BNA,TPA,"Nashville, TN","Tampa, FL",612,1247570,2278169
MKE,TPA,"Milwaukee, WI","Tampa, FL",1075,1462422,2278169
ROC,TPA,"Rochester, NY","Tampa, FL",1079,1018604,2278169
STL,TPA,"St. Louis, MO","Tampa, FL",869,2701634,2404273
PNS,TPA,"Pensacola, FL","Tampa, FL",330,413171,2404273
LAS,TPA,"Las Vegas, NV","Tampa, FL",1984,1393370,2404273
MKE,TPA,"Milwaukee, WI","Tampa, FL",1075,1502305,2404273
BNA,TPA,"Nashville, TN","Tampa, FL",612,1317580,2404273
PVD,TPA,"Providence, RI","Tampa, FL",1137,1586744,2404273
PIT,TPA,"Pittsburgh, PA","Tampa, FL",873,2429023,2404273
CVG,TPA,"Cincinnati, OH","Tampa, FL",773,2014665,2404273
BHM,TPA,"Birmingham, AL","Tampa, FL",460,1053394,2404273
GSO,TPA,"Greensboro, NC","Tampa, FL",580,645536,2404273
MHT,TPA,"Manchester, NH","Tampa, FL",1204,382409,2404273
HSV,TPA,"Huntsville, AL","Tampa, FL",523,343798,2404273
FLL,TPA,"Fort Lauderdale, FL","Tampa, FL",197,5025806,2404273
PBI,TPA,"West Palm Beach, FL","Tampa, FL",174,5025806,2404273
PHL,TPA,"Philadelphia, PA","Tampa, FL",920,11386550,2404273
JAX,TPA,"Jacksonville, FL","Tampa, FL",180,1126224,2404273
SFO,TPA,"San Francisco, CA","Tampa, FL",2392,8273316,2404273
ACY,TPA,"Atlantic City, NJ","Tampa, FL",914,253038,2404273
CLT,TPA,"Charlotte, NC","Tampa, FL",508,1340417,2404273
CLE,TPA,"Cleveland, OH","Tampa, FL",927,2147948,2404273
BWI,TPA,"Baltimore, MD","Tampa, FL",842,2557501,2404273
LGA,TPA,"New York, NY","Tampa, FL",1011,36705486,2404273
JFK,TPA,"New York, NY","Tampa, FL",1005,36705486,2404273
RIC,TPA,"Richmond, VA","Tampa, FL",723,1100196,2404273
SYR,TPA,"Syracuse, NY","Tampa, FL",1104,649817,2404273
GPT,TPA,"Gulfport, MS","Tampa, FL",429,246838,2404273
BDL,TPA,"Hartford, CT","Tampa, FL",1111,1150915,2404273
EYW,TPA,"Key West, FL","Tampa, FL",240,79483,2404273
RDU,TPA,"Raleigh, NC","Tampa, FL",587,804436,2404273
CMH,TPA,"Columbus, OH","Tampa, FL",829,1619514,2404273
PHX,TPA,"Phoenix, AZ","Tampa, FL",1788,3278661,2404273
AMA,TPA,"Amarillo, TX","Tampa, FL",1234,227117,2404273
CAE,TPA,"Columbia, SC","Tampa, FL",420,649181,2404273
MCO,TPA,"Orlando, FL","Tampa, FL",80,1656835,2404273
MEM,TPA,"Memphis, TN","Tampa, FL",656,1208269,2404273
EWR,TPA,"Newark, NJ","Tampa, FL",998,18352743,2404273
DFW,TPA,"Dallas, TX","Tampa, FL",929,10392376,2404273
BOS,TPA,"Boston, MA","Tampa, FL",1185,8805222,2404273
DAL,TPA,"Dallas, TX","Tampa, FL",917,10392376,2404273
MIA,TPA,"Miami, FL","Tampa, FL",204,10051612,2404273
AUS,TPA,"Austin, TX","Tampa, FL",930,1265715,2404273
TPA,TPA,"Tampa, FL","Tampa, FL",0,2404273,2404273
ORD,TPA,"Chicago, IL","Tampa, FL",1012,18235464,2404273
MDW,TPA,"Chicago, IL","Tampa, FL",997,18235464,2404273
DTW,TPA,"Detroit, MI","Tampa, FL",983,8914942,2404273
IAH,TPA,"Houston, TX","Tampa, FL",787,4739414,2404273
HOU,TPA,"Houston, TX","Tampa, FL",781,4739414,2404273
ATL,TPA,"Atlanta, GA","Tampa, FL",406,4281905,2404273
AGS,TPA,"Augusta, GA","Tampa, FL",373,500235,2404273
DCA,TPA,"Washington, DC","Tampa, FL",814,9642062,2404273
IAD,TPA,"Washington, DC","Tampa, FL",810,9642062,2404273
MCI,TPA,"Kansas City, MO","Tampa, FL",1048,1842924,2404273
ABQ,TPA,"Albuquerque, NM","Tampa, FL",1497,731712,2404273
BYH,TPA,"Blytheville, AR","Tampa, FL",701,51827,2404273
MSP,TPA,"Minneapolis, MN","Tampa, FL",1307,2981616,2404273
MSY,TPA,"New Orleans, LA","Tampa, FL",487,1315616,2404273
LAX,TPA,"Los Angeles, CA","Tampa, FL",2158,24797900,2404273
SAT,TPA,"San Antonio, TX","Tampa, FL",972,1719262,2404273
TLH,TPA,"Tallahassee, FL","Tampa, FL",200,321372,2404273
IND,TPA,"Indianapolis, IN","Tampa, FL",838,1531156,2404273
IND,TPA,"Indianapolis, IN","Tampa, FL",838,1556076,2442189
TLH,TPA,"Tallahassee, FL","Tampa, FL",200,323975,2442189
IAD,TPA,"Washington, DC","Tampa, FL",810,9854548,2442189
MCI,TPA,"Kansas City, MO","Tampa, FL",1048,1865245,2442189
DCA,TPA,"Washington, DC","Tampa, FL",814,9854548,2442189
ABQ,TPA,"Albuquerque, NM","Tampa, FL",1497,739531,2442189
SHV,TPA,"Shreveport, LA","Tampa, FL",742,375926,2442189
SAT,TPA,"San Antonio, TX","Tampa, FL",972,1743796,2442189
MSP,TPA,"Minneapolis, MN","Tampa, FL",1307,3024111,2442189
LAX,TPA,"Los Angeles, CA","Tampa, FL",2158,25051472,2442189
MSY,TPA,"New Orleans, LA","Tampa, FL",487,1311131,2442189
LGA,TPA,"New York, NY","Tampa, FL",1011,36980058,2442189
JFK,TPA,"New York, NY","Tampa, FL",1005,36980058,2442189
SYR,TPA,"Syracuse, NY","Tampa, FL",1104,648961,2442189
RIC,TPA,"Richmond, VA","Tampa, FL",723,1111363,2442189
RFD,TPA,"Rockford, IL","Tampa, FL",1048,323992,2442189
CLE,TPA,"Cleveland, OH","Tampa, FL",927,2144528,2442189
BWI,TPA,"Baltimore, MD","Tampa, FL",842,2577904,2442189
CLT,TPA,"Charlotte, NC","Tampa, FL",508,1375381,2442189
MHT,TPA,"Manchester, NH","Tampa, FL",1204,388182,2442189
STL,TPA,"St. Louis, MO","Tampa, FL",869,2719279,2442189
GSO,TPA,"Greensboro, NC","Tampa, FL",580,652373,2442189
GSP,TPA,"Greenville, SC","Tampa, FL",478,567887,2442189
CVG,TPA,"Cincinnati, OH","Tampa, FL",773,2035680,2442189
BHM,TPA,"Birmingham, AL","Tampa, FL",460,1060335,2442189
MKE,TPA,"Milwaukee, WI","Tampa, FL",1075,1511299,2442189
BNA,TPA,"Nashville, TN","Tampa, FL",612,1343263,2442189
PNS,TPA,"Pensacola, FL","Tampa, FL",330,420362,2442189
